0,0,8.1
0,1,6.7
0,2,5.9
0,3,7.3
0,4,6.6
0,5,6.0
0,6,6.9
0,7,7.5
0,8,7.2
0,9,6.1
0,10,6.4
0,11,6.4
0,12,8.3
0,13,7.5
0,14,7.5
0,15,6.7
0,16,8.1
0,17,7.2
0,18,6.7
0,19,5.9
0,20,6.0
0,21,6.1
0,22,6.7
0,23,6.6
0,25,7.1
0,26,8.6
0,27,6.7
0,28,6.6
0,29,7.0
0,30,7.6
0,31,9.8
0,32,7.1
0,34,8.9
0,35,5.8
0,36,7.2
0,37,7.3
0,38,8.1
0,40,7.2
0,41,6.2
0,42,6.0
0,43,6.4
0,44,7.7
0,45,6.8
0,47,6.8
0,48,6.8
0,49,7.3
0,50,6.4
0,51,6.3
0,53,6.2
0,54,7.4
0,56,7.0
0,58,7.4
0,60,8.5
0,62,6.1
0,63,6.4
0,65,7.0
0,66,6.3
0,67,6.9
0,68,5.5
0,69,5.7
0,70,7.1
0,71,6.1
0,72,7.3
0,73,7.5
0,74,8.3
0,75,6.7
0,78,7.2
0,80,6.4
0,81,6.6
0,82,6.8
0,83,7.3
0,84,7.0
0,86,7.8
0,88,6.6
0,89,6.6
0,90,7.5
0,91,6.0
0,92,7.8
0,93,6.0
0,95,7.9
0,96,7.4
0,98,7.3
0,99,7.7
0,100,6.3
0,101,6.0
0,103,5.6
0,104,7.0
0,105,5.2
0,106,7.4
0,107,9.1
0,108,6.6
0,109,7.9
0,112,6.8
0,113,6.4
0,117,6.3
0,118,8.1
0,120,6.8
0,121,5.4
0,122,6.0
0,123,8.0
0,124,7.4
0,128,6.2
0,130,5.9
0,135,5.9
0,137,6.5
0,138,6.4
0,139,6.1
0,145,6.1
0,147,6.1
0,149,7.1
0,150,6.9
0,154,5.5
0,156,5.3
0,157,6.1
0,160,5.7
0,161,5.5
1,0,8.1
1,1,6.9
1,2,5.5
1,3,7.5
1,4,5.5
1,5,5.9
1,6,7.4
1,7,8.1
1,8,8.5
1,12,8.5
1,25,7.3
1,26,7.8
1,27,6.1
1,28,6.1
1,29,7.2
1,30,7.4
1,31,9.5
1,32,7.3
1,33,6.2
1,35,6.2
1,36,6.4
1,37,6.4
1,38,8.9
1,40,6.6
1,47,6.7
1,49,6.8
1,50,6.1
1,52,8.7
1,58,7.2
1,60,7.7
1,65,7.9
1,69,5.4
1,70,5.8
1,73,7.4
1,78,7.8
1,79,7.7
1,86,8.3
1,87,9.0
1,88,7.3
1,89,6.9
1,90,7.7
1,91,6.9
1,92,9.1
1,93,5.7
1,95,7.5
1,97,7.6
1,98,7.1
1,107,8.3
1,108,5.9
1,109,8.2
1,117,6.6
1,118,8.7
1,123,8.5
1,124,7.5
1,125,5.7
1,126,5.6
1,128,5.8
1,129,6.3
1,130,5.7
1,135,6.2
1,147,5.6
1,154,5.7
2,0,8.2
2,3,6.2
2,6,6.3
2,7,7.1
2,8,6.7
2,11,5.9
2,12,6.1
2,13,6.7
2,14,5.7
2,15,6.1
2,16,6.7
2,17,6.1
2,18,5.7
2,22,6.2
2,23,5.8
2,24,6.2
2,25,5.9
2,26,8.4
2,28,6.4
2,29,6.1
2,31,6.5
2,32,6.6
2,34,6.8
2,35,5.8
2,36,6.2
2,37,6.1
2,38,6.4
2,39,5.2
2,40,7.1
2,41,5.5
2,42,6.8
2,43,5.8
2,44,6.2
2,45,5.5
2,46,5.8
2,47,6.1
2,51,5.7
2,52,6.1
2,53,5.8
2,54,7.0
2,56,6.5
2,58,6.6
2,60,7.0
2,63,5.8
2,65,5.8
2,66,6.1
2,68,6.2
2,72,6.4
2,73,7.4
2,74,7.0
2,78,5.4
2,79,7.3
2,82,6.6
2,84,6.7
2,86,6.4
2,88,6.2
2,89,6.2
2,90,6.4
2,91,5.7
2,92,6.8
2,93,6.1
2,95,6.3
2,98,6.3
2,99,6.6
2,100,6.6
2,101,6.8
2,103,5.6
2,104,7.9
2,106,7.4
2,107,6.7
2,108,5.8
2,110,5.3
2,111,6.8
2,112,5.8
2,113,6.2
2,115,6.2
2,117,6.3
2,118,7.0
2,120,7.1
2,121,5.7
2,122,6.1
2,123,6.3
2,124,7.1
2,128,6.0
2,133,5.8
2,135,6.2
2,141,7.0
2,147,6.0
2,149,6.2
2,150,5.6
2,160,5.3
2,161,5.9
3,0,8.4
3,1,6.8
3,2,7.2
3,4,5.7
3,6,8.4
3,7,7.7
3,8,7.1
3,12,6.4
3,13,7.0
3,14,7.8
3,16,8.6
3,17,8.1
3,18,6.4
3,20,5.5
3,24,5.3
3,25,7.2
3,27,7.5
3,28,6.0
3,30,5.7
3,33,6.5
3,34,7.0
3,37,8.0
3,38,7.6
3,39,5.9
3,40,7.1
3,41,8.2
3,42,5.7
3,43,7.1
3,44,7.2
3,45,6.7
3,48,6.7
3,49,8.1
3,50,6.3
3,51,6.5
3,52,8.0
3,53,7.7
3,54,6.8
3,55,7.8
3,56,6.0
3,57,5.8
3,59,7.3
3,63,5.1
3,64,8.0
3,67,6.7
3,68,5.6
3,69,6.5
3,70,7.5
3,71,6.7
